region,hour_of_day,total_renewable_energy
California,0,1706137
California,1,1580759
California,2,1492731
California,3,1445163
California,4,1411726
California,5,1434938
California,6,1535721
California,7,2058730
California,8,3431050
California,9,4688490
California,10,5182243
California,11,5343903
California,12,5404375
California,13,5445538
California,14,5477099
California,15,5422742
California,16,5045683
California,17,4480941
California,18,3864611
California,19,2974565
California,20,2510024
California,21,2336672
California,22,2111781
California,23,1869962
Northwest,0,7353609
Northwest,1,7139747
Northwest,2,6916545
Northwest,3,6839979
Northwest,4,6831669
Northwest,5,6969457
Northwest,6,7379434
Northwest,7,7939522
Northwest,8,8437232
Northwest,9,8833916
Northwest,10,9008452
Northwest,11,8991343
Northwest,12,8937163
Northwest,13,8902296
Northwest,14,8908667
Northwest,15,8949465
Northwest,16,9060490
Northwest,17,9261766
Northwest,18,9390790
Northwest,19,9264830
Northwest,20,9002571
Northwest,21,8732814
Northwest,22,8379400
Northwest,23,7835417
